Date,Close,High,Low,Open,Volume,headline,Polarity,Subjectivity,Sentiment,VADER_Score,VADER_Sentiment,MACD,MACD_signal,MACD_hist,RSI_14,SMA_13,SMA_49,EMA_13,EMA_49
2022-05-06,1564.3399658203125,1578.5400390625,1563.9300537109375,1574.1500244140625,240641800,,0.0,0.0,Neutral,0.0,Neutral,-1.534598862621806,1.4559613893831975,-2.9905602520050034,38.60039843930624,1590.5838435246394,1589.762655452806,1589.2680569474774,1585.2519690859522
2022-05-09,1549.1800537109375,1563.800048828125,1546.6400146484375,1563.800048828125,165661500,"ADVANCING DEMOCRATIC REPRESENTATION, STABILITY AND ACCOUNTABILITY: Regulating Change of Party Affiliation in Malaysia - sunwayuniversity.edu.my",0.0,0.0,Neutral,0.4019,Positive,-4.587550531448869,0.24725900521678423,-4.834809536665653,34.06607460324324,1587.005389873798,1589.0083705357142,1583.5411993422574,1583.8090924709516
2022-05-10,1554.5799560546875,1559.0400390625,1548.72998046875,1551.550048828125,204417900,,0.0,0.0,Neutral,0.0,Neutral,-6.496423013433741,-1.101477398513321,-5.39494561492042,36.90897870118538,1584.356924203726,1588.6142877072705,1579.4038788726048,1582.6399270143008
2022-05-11,1555.9300537109375,1559.4599609375,1552.93994140625,1555.47998046875,163931700,ALLOWABLE AND NON-ALLOWABLE EXPENSES - Lembaga Hasil Dalam Negeri Malaysia,0.0,0.0,Neutral,0.0,Neutral,-7.810244968183042,-2.443230912447265,-5.367014055735777,37.63303419635548,1582.417696439303,1587.883881238042,1576.050475278081,1581.5715320821662
2022-05-12,1538.800048828125,1559.7099609375,1538.800048828125,1556.93994140625,207028200,,0.0,0.0,Neutral,0.0,Neutral,-10.117083128872764,-3.978001355732365,-6.139081773140399,32.53165668346544,1578.1907771183894,1586.4659224529655,1570.7289857852302,1579.8606727520046
2022-05-13,1544.4100341796875,1551.3299560546875,1541.1500244140625,1545.97998046875,261766800,,0.0,0.0,Neutral,0.0,Neutral,-11.361620370554874,-5.454725158696867,-5.906895211858007,35.61005766184354,1574.0438608022837,1585.404087611607,1566.969135555867,1578.4426472091118
2022-05-17,1548.5999755859375,1558.1099853515625,1548.02001953125,1555.6800537109375,247756000,,0.0,0.0,Neutral,0.0,Neutral,-11.87296766572672,-6.7383736601028374,-5.134594005623882,37.88946184101006,1569.9384765625,1584.3938835299746,1564.3449698458774,1577.2489403441848
2022-05-18,1554.9100341796875,1558.8900146484375,1547.469970703125,1554.1500244140625,208475500,Monetary Policy Committee Meeting Schedule - Bank Negara Malaysia | Overnight Policy Rate Decisions - Bank Negara Malaysia,0.0,0.0,Neutral,0.0,Neutral,-11.63492491610964,-7.7176839113041975,-3.917241004805442,41.26182163901284,1567.2407883864182,1583.0953120017539,1562.9971218935646,1576.3553840976049
2022-05-19,1549.4100341796875,1554.530029296875,1545.02001953125,1550.239990234375,222552600,,0.0,0.0,Neutral,0.0,Neutral,-11.75457888816345,-8.525062906676048,-3.2295159814874026,39.26084405201105,1563.6046330378606,1581.982456752232,1561.0561093630108,1575.2775701008882
2022-05-20,1549.1199951171875,1558.510009765625,1549.1199951171875,1552.3800048828125,180829200,,0.0,0.0,Neutral,0.0,Neutral,-11.73750658193012,-9.167551641726863,-2.5699549402032567,39.15301456992624,1560.7692495492788,1581.5040881098532,1559.3509501850363,1574.2312671015402
2022-05-23,1542.530029296875,1556.4300537109375,1540.0899658203125,1553.1500244140625,161612400,,0.0,0.0,Neutral,0.0,Neutral,-12.11606536377326,-9.757254386136143,-2.3588109776371162,36.68750114257567,1556.555401141827,1581.4155173788265,1556.9479614867275,1572.9632175893535
2022-05-24,1531.300048828125,1547.8399658203125,1531.300048828125,1547.8399658203125,185458500,,0.0,0.0,Neutral,0.0,Neutral,-13.170421080800907,-10.439887725069097,-2.7305333557318097,32.88695231191063,1551.2377084585337,1580.7822539660394,1553.2839739640701,1571.2966908389044
2022-05-25,1535.56005859375,1538.8199462890625,1531.219970703125,1531.77001953125,145386500,Real Carrotene - aprilskin my,0.2,0.3,Positive,0.0,Neutral,-13.506563144680968,-11.053222808991471,-2.4533403356894965,35.61185125535262,1547.5900221604568,1579.8644994618942,1550.7519860540244,1569.8672255490983
2022-05-26,1541.1500244140625,1541.75,1535.8900146484375,1539.719970703125,175471800,,0.0,0.0,Neutral,0.0,Neutral,-13.170078164679353,-11.476593880129048,-1.6934842845503049,39.105694091012694,1545.806180513822,1579.312051578444,1549.3802772483157,1568.718537503697
2022-05-27,1546.760009765625,1546.760009765625,1531.56005859375,1540.699951171875,171414000,,0.0,0.0,Neutral,0.0,Neutral,-12.308843771508919,-11.643043858405022,-0.6657999131038963,42.47903951195317,1545.6200232872595,1578.8900121572067,1549.005953322217,1567.8401963941742
2022-05-30,1543.02001953125,1547.02001953125,1540.56005859375,1546.3499755859375,143220900,,0.0,0.0,Neutral,0.0,Neutral,-11.792162555994992,-11.672867597923016,-0.11929495807197554,40.85418635240741,1544.7307974008413,1578.5963383888711,1548.1508199235075,1566.8473893196572
2022-05-31,1570.0999755859375,1570.0999755859375,1537.949951171875,1544.3499755859375,745939000,,0.0,0.0,Neutral,0.0,Neutral,-9.092747302372118,-11.156843538812836,2.0640962364407187,54.44240172805463,1545.820791391226,1578.571441027583,1551.2864135895688,1566.9774927703083
2022-06-01,1553.4100341796875,1563.8900146484375,1552.219970703125,1563.4000244140625,276242600,,0.0,0.0,Neutral,0.0,Neutral,-8.205591106985594,-10.566593052447388,2.361001945461794,47.23910058138002,1546.9446364182693,1577.8067477479274,1551.589787959586,1566.4347944266835
2022-06-02,1549.9000244140625,1555.5400390625,1546.2900390625,1554.719970703125,221159300,,0.0,0.0,Neutral,0.0,Neutral,-7.697015480997607,-9.992677538157432,2.2956620571598254,45.86470700911214,1547.366943359375,1576.962666414222,1551.3483931673684,1565.7734036261786
2022-06-03,1537.8299560546875,1551.6700439453125,1537.510009765625,1551.239990234375,155523600,,0.0,0.0,Neutral,0.0,Neutral,-8.173697973851858,-9.628881625296318,1.4551836514444592,41.4036830205694,1546.5384803185095,1575.9559301259567,1549.417187865557,1564.6556657233189
2022-06-07,1525.9300537109375,1541.4300537109375,1525.9300537109375,1538.739990234375,170810900,,0.0,0.0,Neutral,0.0,Neutral,-9.403299567198019,-9.583765213676658,0.18046564647863939,37.52814999701803,1544.3092510516826,1574.7338892099808,1546.0618829863256,1563.1066412428236
2022-06-08,1523.8599853515625,1532.719970703125,1523.8599853515625,1525.9000244140625,184381000,,0.0,0.0,Neutral,0.0,Neutral,-10.424636188177828,-9.751939408576892,-0.6726967796009369,36.88141550881262,1542.3438626802886,1573.223276566486,1542.8901833242167,1561.536775007173
2022-06-09,1509.7099609375,1526.8299560546875,1508.0,1523.31005859375,218442900,,0.0,0.0,Neutral,0.0,Neutral,-12.23480630102813,-10.248512787067138,-1.986293513960991,32.72935649923453,1539.3123215895432,1571.4016437141263,1538.1501515546859,1559.463702444386
2022-06-10,1493.949951171875,1505.6800537109375,1493.3199462890625,1505.6800537109375,201280200,,0.0,0.0,Neutral,0.0,Neutral,-14.770811512615637,-11.15297253217684,-3.6178389804387976,28.835599081899574,1535.5753925030049,1569.1700090680804,1531.8358372142843,1556.8431523934853
2022-06-13,1464.8299560546875,1483.760009765625,1458.8499755859375,1483.760009765625,260416300,,0.0,0.0,Neutral,0.0,Neutral,-18.912344419787587,-12.70484690969899,-6.207497510088597,23.316026343599987,1530.4623084435095,1566.453274473852,1522.263568477199,1553.1626245399334
2022-06-14,1481.280029296875,1481.719970703125,1451.1800537109375,1457.8599853515625,239619000,,0.0,0.0,Neutral,0.0,Neutral,-20.62935331155927,-14.289748190071046,-6.3396051214882245,31.314428227244164,1526.2869215745193,1564.368784378986,1516.4087771657241,1550.287320730211
2022-06-15,1459.050048828125,1480.9599609375,1453.18994140625,1480.8800048828125,228046100,,0.0,0.0,Neutral,0.0,Neutral,-23.512827628129116,-16.134364077682662,-7.378463550446455,27.1875255820286,1519.9715388371394,1561.8347043407207,1508.2146731174957,1546.6378298541274
2022-06-16,1472.77001953125,1476.02001953125,1461.93994140625,1469.0999755859375,238653100,,0.0,0.0,Neutral,0.0,Neutral,-24.409536878433073,-17.789398637832747,-6.620138240600326,33.05183903220207,1514.280001126803,1559.496133609694,1503.1511511766037,1543.683117441212
2022-06-17,1456.739990234375,1461.030029296875,1445.6400146484375,1460.9300537109375,422332000,,0.0,0.0,Neutral,0.0,Neutral,-26.112664276245823,-19.454051765515363,-6.65861251073046,30.010591585137405,1507.643075796274,1556.5232755699935,1496.520985327714,1540.2053923529386
2022-06-20,1441.239990234375,1454.4000244140625,1437.22998046875,1454.4000244140625,135252900,FORMAT INSTRUCTIONS FOR SOMChE 2004 PAPERS - Journal of Engineering Science and Technology (JESTEC),0.0,0.0,Neutral,0.0,Neutral,-28.385910365401514,-21.24042348549259,-7.145486879908923,27.38652349920993,1497.7307692307693,1553.3053152901787,1488.62370031438,1536.2467762681958
2022-06-21,1457.8800048828125,1457.8800048828125,1443.260009765625,1443.300048828125,220812900,,0.0,0.0,Neutral,0.0,Neutral,-28.51604889218197,-22.69554856683047,-5.8205003253514995,34.05308257939261,1490.382305438702,1550.4704166334502,1484.2317438241562,1533.1121054127805
2022-06-22,1431.0999755859375,1461.530029296875,1431.0999755859375,1461.1300048828125,213442200,,0.0,0.0,Neutral,0.0,Neutral,-30.42933869163585,-24.242306591791547,-6.187032099844302,29.37837639259466,1481.2438401442307,1546.927151426977,1476.6414912186963,1529.0316202197066
2022-06-23,1431.050048828125,1441.469970703125,1427.780029296875,1434.5,138751900,,0.0,0.0,Neutral,0.0,Neutral,-31.58556458708358,-25.710958190849958,-5.874606396233624,29.37028146447271,1473.030001126803,1543.4630699936224,1470.1284280200434,1525.1123573640434
2022-06-24,1436.699951171875,1440.72998046875,1431.300048828125,1431.300048828125,144218900,,0.0,0.0,Neutral,0.0,Neutral,-31.68078566194049,-26.904923685068066,-4.775861976872424,31.664955226177455,1466.1661470853364,1539.9816396285078,1465.352931327448,1521.5758611163567
2022-06-27,1438.1199951171875,1441.030029296875,1431.6500244140625,1438.8199462890625,112772600,,0.0,0.0,Neutral,0.0,Neutral,-31.2810746148441,-27.780153871023273,-3.500920743820828,32.26064488193461,1459.5707632211538,1536.5838847257653,1461.4625118688393,1518.2376264763898
2022-06-28,1454.739990234375,1455.4599609375,1431.3499755859375,1438.97998046875,141126700,,0.0,0.0,Neutral,0.0,Neutral,-29.28561962996605,-28.08124702281183,-1.2043726071542196,38.96656226341438,1455.342303936298,1533.6779660594707,1460.5021516353445,1515.6977210267091
2022-06-29,1451.47998046875,1459.8599853515625,1445.22998046875,1450.449951171875,252629700,,0.0,0.0,Neutral,0.0,Neutral,-27.64854747633717,-27.994707113516903,0.3461596371797313,38.168395324190165,1452.0753831129807,1530.704495176977,1459.2132700401169,1513.129011404391
2022-06-30,1444.219970703125,1460.300048828125,1444.219970703125,1455.5,298977000,,0.0,0.0,Neutral,0.0,Neutral,-26.630004004212196,-27.721766491655963,1.0917624874437664,36.381162227817,1450.489999624399,1527.6130670041455,1457.0713701348325,1510.3726497763403
2022-07-01,1449.739990234375,1452.3199462890625,1441.6199951171875,1441.6199951171875,124199100,,0.0,0.0,Neutral,0.0,Neutral,-25.088180591886612,-27.195049311702093,2.1068687198154805,38.730313831913215,1448.0638427734375,1524.7708217075892,1456.024030149053,1507.9473433946616
2022-07-04,1437.52001953125,1449.5,1437.52001953125,1449.5,121107100,,0.0,0.0,Neutral,0.0,Neutral,-24.56910657174535,-26.669860763710748,2.1007541919653967,35.59667472734344,1446.407686673678,1521.8398013990752,1453.3806000607956,1505.130250440125
2022-07-05,1440.81005859375,1444.6700439453125,1435.5799560546875,1441.8699951171875,143105000,,0.0,0.0,Neutral,0.0,Neutral,-23.619981570104983,-26.059884924989596,2.4399033548846134,37.072895405662095,1443.949228140024,1518.7185781050703,1451.5848084226463,1502.55744276627
2022-07-06,1420.8499755859375,1448.0899658203125,1419.5,1442.5699462890625,174436600,,0.0,0.0,Neutral,0.0,Neutral,-24.199448870638435,-25.687797714119366,1.4883488434809315,32.244095942262106,1441.188457782452,1515.0967419682718,1447.1941180174024,1499.2891440790565
